agent_id,skill_slug,local_skill_path,link_path,skill_status,source_id
workbuddy:AIShifuExpert,ai-shifu-course-creator,sources/workbuddy-experts/plugins/ai-shifu/skills/ai-shifu-course-creator,catalog/agency_agents_merged/skills/by-agent/workbuddy--AIShifuExpert--03cee3ed9c/ai-shifu-course-creator,downloaded,workbuddy
workbuddy:AShareAnalysis,westock,sources/workbuddy-experts/plugins/a-share-analysis/skills/westock,catalog/agency_agents_merged/skills/by-agent/workbuddy--AShareAnalysis--0af1b4eec0/westock,downloaded,workbuddy
workbuddy:AShareAnalysis,neodata-financial-search,sources/workbuddy-experts/plugins/a-share-analysis/skills/neodata-financial-search,catalog/agency_agents_merged/skills/by-agent/workbuddy--AShareAnalysis--0af1b4eec0/neodata-financial-search,downloaded,workbuddy
workbuddy:AbExperimentAnalyst,ab-analysis,sources/workbuddy-experts/plugins/ab-experiment-analyst/skills/ab-analysis,catalog/agency_agents_merged/skills/by-agent/workbuddy--AbExperimentAnalyst--d84f43464b/ab-analysis,downloaded,workbuddy
workbuddy:AbExperimentAnalyst,tencent-bigdata,sources/workbuddy-experts/plugins/ab-experiment-analyst/skills/tencent-bigdata,catalog/agency_agents_merged/skills/by-agent/workbuddy--AbExperimentAnalyst--d84f43464b/tencent-bigdata,downloaded,workbuddy
workbuddy:AbExperimentAnalyst,tencent-tab-skills,sources/workbuddy-experts/plugins/ab-experiment-analyst/skills/tencent-tab-skills,catalog/agency_agents_merged/skills/by-agent/workbuddy--AbExperimentAnalyst--d84f43464b/tencent-tab-skills,downloaded,workbuddy
workbuddy:AdCreativeStrategist,brand-guidelines,sources/workbuddy-experts/plugins/ad-creative-strategist/skills/brand-guidelines,catalog/agency_agents_merged/skills/by-agent/workbuddy--AdCreativeStrategist--3183ea352d/brand-guidelines,downloaded,workbuddy
workbuddy:AdCreativeStrategist,humanizer,sources/workbuddy-experts/plugins/ad-creative-strategist/skills/humanizer,catalog/agency_agents_merged/skills/by-agent/workbuddy--AdCreativeStrategist--3183ea352d/humanizer,downloaded,workbuddy
workbuddy:AgentOrchestrator,github,sources/workbuddy-experts/plugins/agent-orchestrator/skills/github,catalog/agency_agents_merged/skills/by-agent/workbuddy--AgentOrchestrator--b66f2969fb/github,downloaded,workbuddy
workbuddy:AiContentCreatorTeam,ai-content-production,sources/workbuddy-experts/plugins/ai-content-creator-team/skills/ai-content-production,catalog/agency_agents_merged/skills/by-agent/workbuddy--AiContentCreatorTeam--ba4e762a31/ai-content-production,downloaded,workbuddy
workbuddy:AiDataCopilot,data-analysis-engine,sources/workbuddy-experts/plugins/ai-data-copilot/skills/data-analysis-engine,catalog/agency_agents_merged/skills/by-agent/workbuddy--AiDataCopilot--c4531cd933/data-analysis-engine,downloaded,workbuddy
workbuddy:AiEngineer,agent-browser-core,sources/workbuddy-experts/plugins/ai-engineer/skills/agent-browser-core,catalog/agency_agents_merged/skills/by-agent/workbuddy--AiEngineer--d12d0a90c6/agent-browser-core,downloaded,workbuddy
workbuddy:AiEngineer,agent-team-orchestration,sources/workbuddy-experts/plugins/ai-engineer/skills/agent-team-orchestration,catalog/agency_agents_merged/skills/by-agent/workbuddy--AiEngineer--d12d0a90c6/agent-team-orchestration,downloaded,workbuddy
workbuddy:AiEngineer,deep-research,sources/workbuddy-experts/plugins/ai-engineer/skills/deep-research,catalog/agency_agents_merged/skills/by-agent/workbuddy--AiEngineer--d12d0a90c6/deep-research,downloaded,workbuddy
workbuddy:AiEngineer,fullstack-dev,sources/workbuddy-experts/plugins/ai-engineer/skills/fullstack-dev,catalog/agency_agents_merged/skills/by-agent/workbuddy--AiEngineer--d12d0a90c6/fullstack-dev,downloaded,workbuddy
workbuddy:AiHot,aihot,sources/workbuddy-experts/plugins/aihot/skills/aihot,catalog/agency_agents_merged/skills/by-agent/workbuddy--AiHot--2ac8d179ec/aihot,downloaded,workbuddy
workbuddy:AiImagePromptEngineer,canvas-design,sources/workbuddy-experts/plugins/ai-image-prompt-engineer/skills/canvas-design,catalog/agency_agents_merged/skills/by-agent/workbuddy--AiImagePromptEngineer--c92b69b8b0/canvas-design,downloaded,workbuddy
workbuddy:AiShifu,ai-shifu-course-creator,sources/workbuddy-experts/plugins/ai-shifu/skills/ai-shifu-course-creator,catalog/agency_agents_merged/skills/by-agent/workbuddy--AiShifu--eee65131ec/ai-shifu-course-creator,downloaded,workbuddy
workbuddy:AicodingArchitectureExpertTeam,aicoding-team-bootstrap,sources/workbuddy-experts/plugins/aicoding-architecture-expert-team/skills/aicoding-team-bootstrap,catalog/agency_agents_merged/skills/by-agent/workbuddy--AicodingArchitectureExpertTeam--11915878eb/aicoding-team-bootstrap,downloaded,workbuddy
workbuddy:AicodingArchitectureExpertTeam,CloudQ,sources/workbuddy-experts/plugins/aicoding-architecture-expert-team/skills/CloudQ,catalog/agency_agents_merged/skills/by-agent/workbuddy--AicodingArchitectureExpertTeam--11915878eb/CloudQ,downloaded,workbuddy
workbuddy:AicodingArchitectureExpertTeam,tcloud-arch-diagram,sources/workbuddy-experts/plugins/aicoding-architecture-expert-team/skills/tcloud-arch-diagram,catalog/agency_agents_merged/skills/by-agent/workbuddy--AicodingArchitectureExpertTeam--11915878eb/tcloud-arch-diagram,downloaded,workbuddy
workbuddy:AicodingArchitectureExpertTeam,diagrams-generator,sources/workbuddy-experts/plugins/aicoding-architecture-expert-team/skills/diagrams-generator,catalog/agency_agents_merged/skills/by-agent/workbuddy--AicodingArchitectureExpertTeam--11915878eb/diagrams-generator,downloaded,workbuddy
workbuddy:AicodingArchitectureExpertTeam,tech-research-advisor,sources/workbuddy-experts/plugins/aicoding-architecture-expert-team/skills/tech-research-advisor,catalog/agency_agents_merged/skills/by-agent/workbuddy--AicodingArchitectureExpertTeam--11915878eb/tech-research-advisor,downloaded,workbuddy
workbuddy:AicodingArchitectureExpertTeam,docx,sources/workbuddy-experts/plugins/aicoding-architecture-expert-team/skills/docx,catalog/agency_agents_merged/skills/by-agent/workbuddy--AicodingArchitectureExpertTeam--11915878eb/docx,downloaded,workbuddy
workbuddy:AicodingArchitectureExpertTeam,pdf,sources/workbuddy-experts/plugins/aicoding-architecture-expert-team/skills/pdf,catalog/agency_agents_merged/skills/by-agent/workbuddy--AicodingArchitectureExpertTeam--11915878eb/pdf,downloaded,workbuddy
workbuddy:AicodingArchitectureExpertTeam,pptx,sources/workbuddy-experts/plugins/aicoding-architecture-expert-team/skills/pptx,catalog/agency_agents_merged/skills/by-agent/workbuddy--AicodingArchitectureExpertTeam--11915878eb/pptx,downloaded,workbuddy
workbuddy:AicodingArchitectureExpertTeam,xlsx,sources/workbuddy-experts/plugins/aicoding-architecture-expert-team/skills/xlsx,catalog/agency_agents_merged/skills/by-agent/workbuddy--AicodingArchitectureExpertTeam--11915878eb/xlsx,downloaded,workbuddy
workbuddy:AladinTestDesign,test-design,sources/workbuddy-experts/plugins/aladin-test-design/skills/test-design,catalog/agency_agents_merged/skills/by-agent/workbuddy--AladinTestDesign--fdfe661d67/test-design,downloaded,workbuddy
workbuddy:AndonQExpert,andonq,sources/workbuddy-experts/plugins/andon-q-expert/skills/andonq,catalog/agency_agents_merged/skills/by-agent/workbuddy--AndonQExpert--db966c2dcc/andonq,downloaded,workbuddy
