skill_slug,skill_ref_examples,expert_count,expert_ids,downloaded_count,local_paths,by_skill_link
09-python,./skills/09-python全栈工程师,1,PythonFullstackEngineer,1,sources/workbuddy-experts/plugins/python-fullstack-engineer/skills/09-python全栈工程师,catalog/workbuddy_expert_catalog/skills/by-skill/09-python
12306-train-assistant,./skills/12306-train-assistant,1,TripStarAgent,1,sources/workbuddy-experts/plugins/tripstar-agent/skills/12306-train-assistant,catalog/workbuddy_expert_catalog/skills/by-skill/12306-train-assistant
3-statement-model,./skills/3-statement-model,2,ModelBuilder;PitchAgent,2,sources/workbuddy-experts/plugins/model-builder/skills/3-statement-model;sources/workbuddy-experts/plugins/pitch-agent/skills/3-statement-model,catalog/workbuddy_expert_catalog/skills/by-skill/3-statement-model
3-statements,./skills/3-statements,1,FinancialModelingExpert,1,sources/workbuddy-experts/plugins/financial-analysis/skills/3-statements,catalog/workbuddy_expert_catalog/skills/by-skill/3-statements
808zdlb,./skills/808zdlb,1,TerminalVeteran,1,sources/workbuddy-experts/plugins/terminal-veteran/skills/808zdlb,catalog/workbuddy_expert_catalog/skills/by-skill/808zdlb
CloudQ,./skills/CloudQ,1,AicodingArchitectureExpertTeam,1,sources/workbuddy-experts/plugins/aicoding-architecture-expert-team/skills/CloudQ,catalog/workbuddy_expert_catalog/skills/by-skill/CloudQ
a-stock-data,./skills/a-stock-data,1,RoadshowResearchTeam,1,sources/workbuddy-experts/plugins/roadshow-research-team/skills/a-stock-data,catalog/workbuddy_expert_catalog/skills/by-skill/a-stock-data
ab-analysis,./skills/ab-analysis,1,AbExperimentAnalyst,1,sources/workbuddy-experts/plugins/ab-experiment-analyst/skills/ab-analysis,catalog/workbuddy_expert_catalog/skills/by-skill/ab-analysis
accommodation-pick,./skills/accommodation-pick,1,LazyTravelPlanner,1,sources/workbuddy-experts/plugins/lazy-travel-planner/skills/accommodation-pick,catalog/workbuddy_expert_catalog/skills/by-skill/accommodation-pick
accrual-schedule,./skills/accrual-schedule,1,MonthEndCloser,1,sources/workbuddy-experts/plugins/month-end-closer/skills/accrual-schedule,catalog/workbuddy_expert_catalog/skills/by-skill/accrual-schedule
