skill_slug,skill_ref_examples,expert_count,expert_ids,downloaded_count,local_paths,by_skill_link
ai-research-radar,./skills/ai-research-radar,1,TrendHunter,1,sources/workbuddy-experts/plugins/trend-hunter/skills/ai-research-radar,catalog/workbuddy_expert_catalog/skills/by-skill/ai-research-radar
anti-distill,./skills/anti-distill,3,BaiduSeoExpert;SalesCoach;SeoExpert,10,sources/workbuddy-experts/plugins/baidu-seo-expert/skills/anti-distill;sources/workbuddy-experts/plugins/behavioral-nudge-engine/skills/anti-distill;sources/workbuddy-experts/plugins/book-co-creator/skills/anti-distill;sources/workbuddy-experts/plugins/content-creator/skills/anti-distill;sources/workbuddy-experts/plugins/douyin-strategist/skills/anti-distill;sources/workbuddy-experts/plugins/narrative-designer/skills/anti-distill;sources/workbuddy-experts/plugins/sales-coach/skills/anti-distill;sources/workbuddy-experts/plugins/seo-expert/skills/anti-distill;sources/workbuddy-experts/plugins/short-video-editing-coach/skills/anti-distill;sources/workbuddy-experts/plugins/wechat-official-account-expert/skills/anti-distill,catalog/workbuddy_expert_catalog/skills/by-skill/anti-distill
artifact-renderer,./skills/artifact-renderer,1,IndustrialParkInvestmentAttractionExpert,1,sources/workbuddy-experts/plugins/industrial-park-investment-attraction-expert/skills/artifact-renderer,catalog/workbuddy_expert_catalog/skills/by-skill/artifact-renderer
audience-campaign,./skills/audience-campaign,1,AutoConsultant,1,sources/workbuddy-experts/plugins/auto-consultant/skills/audience-campaign,catalog/workbuddy_expert_catalog/skills/by-skill/audience-campaign
bidding-strategist,./skills/bidding-strategist,1,BiddingStrategist,1,sources/workbuddy-experts/plugins/bidding-strategist/skills/bidding-strategist,catalog/workbuddy_expert_catalog/skills/by-skill/bidding-strategist
brand-consistency-check,./skills/brand-consistency-check,1,BrandGuardian,1,sources/workbuddy-experts/plugins/brand-guardian/skills/brand-consistency-check,catalog/workbuddy_expert_catalog/skills/by-skill/brand-consistency-check
brand-guidelines,./skills/brand-guidelines,2,AdCreativeStrategist;BrandGuardian,2,sources/workbuddy-experts/plugins/ad-creative-strategist/skills/brand-guidelines;sources/workbuddy-experts/plugins/brand-guardian/skills/brand-guidelines,catalog/workbuddy_expert_catalog/skills/by-skill/brand-guidelines
brand-voice-messaging,./skills/brand-voice-messaging,1,BrandGuardian,1,sources/workbuddy-experts/plugins/brand-guardian/skills/brand-voice-messaging,catalog/workbuddy_expert_catalog/skills/by-skill/brand-voice-messaging
browser-use,./skills/browser-use,2,CrossBorderEcommerceExpert;ProposalStrategist,9,sources/workbuddy-experts/plugins/cross-border-ecommerce-expert/skills/browser-use;sources/workbuddy-experts/plugins/frontend-developer/skills/browser-use;sources/workbuddy-experts/plugins/proposal-strategist/skills/browser-use;sources/workbuddy-experts/plugins/senior-developer/skills/browser-use;sources/workbuddy-experts/plugins/supply-chain-strategist/skills/browser-use;sources/workbuddy-experts/plugins/trend-researcher/skills/browser-use;sources/workbuddy-experts/plugins/ui-designer/skills/browser-use;sources/workbuddy-experts/plugins/user-experience-architect/skills/browser-use;sources/workbuddy-experts/plugins/user-experience-researcher/skills/browser-use,catalog/workbuddy_expert_catalog/skills/by-skill/browser-use
business-case,./skills/business-case,1,SalesCoach,1,sources/workbuddy-experts/plugins/sales-coach/skills/business-case,catalog/workbuddy_expert_catalog/skills/by-skill/business-case
buyer-needs-direction,./skills/buyer-needs-direction,1,AutoConsultant,1,sources/workbuddy-experts/plugins/auto-consultant/skills/buyer-needs-direction,catalog/workbuddy_expert_catalog/skills/by-skill/buyer-needs-direction
call-debrief,./skills/call-debrief,1,SalesCoach,1,sources/workbuddy-experts/plugins/sales-coach/skills/call-debrief,catalog/workbuddy_expert_catalog/skills/by-skill/call-debrief
campaign-execution,./skills/campaign-execution,1,SmbRevenue,1,sources/workbuddy-experts/plugins/smb-revenue/skills/campaign-execution,catalog/workbuddy_expert_catalog/skills/by-skill/campaign-execution
competitive-brief,./skills/competitive-brief,1,SalesCoach,1,sources/workbuddy-experts/plugins/sales-coach/skills/competitive-brief,catalog/workbuddy_expert_catalog/skills/by-skill/competitive-brief
competitor-monitoring,./skills/competitor-monitoring,1,TrendHunter,1,sources/workbuddy-experts/plugins/trend-hunter/skills/competitor-monitoring,catalog/workbuddy_expert_catalog/skills/by-skill/competitor-monitoring
content-calendar,./skills/content-calendar,1,TrendHunter,1,sources/workbuddy-experts/plugins/trend-hunter/skills/content-calendar,catalog/workbuddy_expert_catalog/skills/by-skill/content-calendar
content-monetization-ops,./skills/content-monetization-ops,1,ContentMonetizationTeam,1,sources/workbuddy-experts/plugins/content-monetization-team/skills/content-monetization-ops,catalog/workbuddy_expert_catalog/skills/by-skill/content-monetization-ops
content-strategy,./skills/content-strategy,1,SmbRevenue,1,sources/workbuddy-experts/plugins/smb-revenue/skills/content-strategy,catalog/workbuddy_expert_catalog/skills/by-skill/content-strategy
content-writing,./skills/content-writing,1,SeoContentTeam,1,sources/workbuddy-experts/plugins/seo-content-team/skills/content-writing,catalog/workbuddy_expert_catalog/skills/by-skill/content-writing
cordys-crm,./skills/cordys-crm,1,CordysCrm,1,sources/workbuddy-experts/plugins/cordys-crm/skills/cordys-crm,catalog/workbuddy_expert_catalog/skills/by-skill/cordys-crm
cro-optimization,./skills/cro-optimization,1,SeoContentTeam,1,sources/workbuddy-experts/plugins/seo-content-team/skills/cro-optimization,catalog/workbuddy_expert_catalog/skills/by-skill/cro-optimization
deal-strategy,./skills/deal-strategy,1,SalesCoach,1,sources/workbuddy-experts/plugins/sales-coach/skills/deal-strategy,catalog/workbuddy_expert_catalog/skills/by-skill/deal-strategy
deep-research,./skills/deep-research,1,GovernmentDigitalPresalesConsultant,6,sources/workbuddy-experts/plugins/ai-engineer/skills/deep-research;sources/workbuddy-experts/plugins/compliance-auditor/skills/deep-research;sources/workbuddy-experts/plugins/government-digital-presales-consultant/skills/deep-research;sources/workbuddy-experts/plugins/technical-documentation-engineer/skills/deep-research;sources/workbuddy-experts/plugins/tool-evaluation-expert/skills/deep-research;sources/workbuddy-experts/plugins/unity-editor-tool-developer/skills/deep-research,catalog/workbuddy_expert_catalog/skills/by-skill/deep-research
entity-evidence-audit,./skills/entity-evidence-audit,1,IndustrialParkInvestmentAttractionExpert,1,sources/workbuddy-experts/plugins/industrial-park-investment-attraction-expert/skills/entity-evidence-audit,catalog/workbuddy_expert_catalog/skills/by-skill/entity-evidence-audit
executing-marketing-campaigns,./skills/executing-marketing-campaigns,1,MarketingCampaignExpert,1,sources/workbuddy-experts/plugins/executing-marketing-campaigns/skills/executing-marketing-campaigns,catalog/workbuddy_expert_catalog/skills/by-skill/executing-marketing-campaigns
fbs-bookwriter,./skills/fbs-bookwriter,1,SeoExpert,4,sources/workbuddy-experts/plugins/behavioral-nudge-engine/skills/fbs-bookwriter;sources/workbuddy-experts/plugins/book-co-creator/skills/fbs-bookwriter;sources/workbuddy-experts/plugins/feedback-synthesis-analyst/skills/fbs-bookwriter;sources/workbuddy-experts/plugins/seo-expert/skills/fbs-bookwriter,catalog/workbuddy_expert_catalog/skills/by-skill/fbs-bookwriter
fit-portfolio,./skills/fit-portfolio,1,IndustrialParkInvestmentAttractionExpert,1,sources/workbuddy-experts/plugins/industrial-park-investment-attraction-expert/skills/fit-portfolio,catalog/workbuddy_expert_catalog/skills/by-skill/fit-portfolio
geo-diag-report,./skills/geo-diag-report,1,GeoDiagnosisExpert,1,sources/workbuddy-experts/plugins/geo-diagnosis-expert/skills/geo-diag-report,catalog/workbuddy_expert_catalog/skills/by-skill/geo-diag-report
hcp-insight,./skills/hcp-insight,1,NgesHealthcareMarketingTeam,1,sources/workbuddy-experts/plugins/nges-healthcare-marketing-team/skills/hcp-insight,catalog/workbuddy_expert_catalog/skills/by-skill/hcp-insight
humanizer,./skills/humanizer,2,AdCreativeStrategist;BrandGuardian,7,sources/workbuddy-experts/plugins/ad-creative-strategist/skills/humanizer;sources/workbuddy-experts/plugins/brand-guardian/skills/humanizer;sources/workbuddy-experts/plugins/content-creator/skills/humanizer;sources/workbuddy-experts/plugins/content-distribution-team/skills/humanizer;sources/workbuddy-experts/plugins/douyin-strategist/skills/humanizer;sources/workbuddy-experts/plugins/wechat-official-account-expert/skills/humanizer;sources/workbuddy-experts/plugins/xiaohongshu-operations-expert/skills/humanizer,catalog/workbuddy_expert_catalog/skills/by-skill/humanizer
ima-skills,./skills/ima-skills,1,GrowthHacker,3,sources/workbuddy-experts/plugins/growth-hacker/skills/ima-skills;sources/workbuddy-experts/plugins/legal-compliance-reviewer/skills/ima-skills;sources/workbuddy-experts/plugins/trend-researcher/skills/ima-skills,catalog/workbuddy_expert_catalog/skills/by-skill/ima-skills
interactive-medical-case,./skills/interactive-medical-case,1,NgesHealthcareMarketingTeam,1,sources/workbuddy-experts/plugins/nges-healthcare-marketing-team/skills/interactive-medical-case,catalog/workbuddy_expert_catalog/skills/by-skill/interactive-medical-case
jiaozhen-factcheck,./skills/jiaozhen-factcheck,1,PresalesTechnicalConsultant,2,sources/workbuddy-experts/plugins/compliance-auditor/skills/jiaozhen-factcheck;sources/workbuddy-experts/plugins/presales-technical-consultant/skills/jiaozhen-factcheck,catalog/workbuddy_expert_catalog/skills/by-skill/jiaozhen-factcheck
jiayi-ads-analytics-expert-public,./skills/jiayi-ads-analytics-expert-public,1,JiayiAdsAnalyticsExpert,1,sources/workbuddy-experts/plugins/jiayi-ads-analytics-expert/skills/jiayi-ads-analytics-expert-public,catalog/workbuddy_expert_catalog/skills/by-skill/jiayi-ads-analytics-expert-public
lead-management,./skills/lead-management,1,SmbRevenue,1,sources/workbuddy-experts/plugins/smb-revenue/skills/lead-management,catalog/workbuddy_expert_catalog/skills/by-skill/lead-management
linkfox-aigc-textgen,./skills/linkfox-aigc-textgen,1,LinkfoxExpertAmazonListingSpecialist,1,sources/workbuddy-experts/plugins/linkfox-expert-amazon-listing-specialist/skills/linkfox-aigc-textgen,catalog/workbuddy_expert_catalog/skills/by-skill/linkfox-aigc-textgen
linkfox-amazon-alexa-search,./skills/linkfox-amazon-alexa-search,1,LinkfoxExpertAmazonListingSpecialist,1,sources/workbuddy-experts/plugins/linkfox-expert-amazon-listing-specialist/skills/linkfox-amazon-alexa-search,catalog/workbuddy_expert_catalog/skills/by-skill/linkfox-amazon-alexa-search
linkfox-amazon-product-detail,./skills/linkfox-amazon-product-detail,1,LinkfoxExpertAmazonListingSpecialist,1,sources/workbuddy-experts/plugins/linkfox-expert-amazon-listing-specialist/skills/linkfox-amazon-product-detail,catalog/workbuddy_expert_catalog/skills/by-skill/linkfox-amazon-product-detail
linkfox-amazon-reviews-list,./skills/linkfox-amazon-reviews-list,1,LinkfoxExpertAmazonListingSpecialist,1,sources/workbuddy-experts/plugins/linkfox-expert-amazon-listing-specialist/skills/linkfox-amazon-reviews-list,catalog/workbuddy_expert_catalog/skills/by-skill/linkfox-amazon-reviews-list
linkfox-amazon-search,./skills/linkfox-amazon-search,1,LinkfoxExpertAmazonListingSpecialist,1,sources/workbuddy-experts/plugins/linkfox-expert-amazon-listing-specialist/skills/linkfox-amazon-search,catalog/workbuddy_expert_catalog/skills/by-skill/linkfox-amazon-search
linkfox-amazon-search-by-image,./skills/linkfox-amazon-search-by-image,1,LinkfoxExpertAmazonListingSpecialist,1,sources/workbuddy-experts/plugins/linkfox-expert-amazon-listing-specialist/skills/linkfox-amazon-search-by-image,catalog/workbuddy_expert_catalog/skills/by-skill/linkfox-amazon-search-by-image
linkfox-keepa-product-request,./skills/linkfox-keepa-product-request,1,LinkfoxExpertAmazonListingSpecialist,1,sources/workbuddy-experts/plugins/linkfox-expert-amazon-listing-specialist/skills/linkfox-keepa-product-request,catalog/workbuddy_expert_catalog/skills/by-skill/linkfox-keepa-product-request
linkfox-multimodal-product-similarity,./skills/linkfox-multimodal-product-similarity,1,LinkfoxExpertAmazonListingSpecialist,1,sources/workbuddy-experts/plugins/linkfox-expert-amazon-listing-specialist/skills/linkfox-multimodal-product-similarity,catalog/workbuddy_expert_catalog/skills/by-skill/linkfox-multimodal-product-similarity
linkfox-ruiguan-copyright-detection,./skills/linkfox-ruiguan-copyright-detection,1,LinkfoxExpertAmazonListingSpecialist,1,sources/workbuddy-experts/plugins/linkfox-expert-amazon-listing-specialist/skills/linkfox-ruiguan-copyright-detection,catalog/workbuddy_expert_catalog/skills/by-skill/linkfox-ruiguan-copyright-detection
linkfox-ruiguan-detection-patent-design,./skills/linkfox-ruiguan-detection-patent-design,1,LinkfoxExpertAmazonListingSpecialist,1,sources/workbuddy-experts/plugins/linkfox-expert-amazon-listing-specialist/skills/linkfox-ruiguan-detection-patent-design,catalog/workbuddy_expert_catalog/skills/by-skill/linkfox-ruiguan-detection-patent-design
linkfox-ruiguan-gun-parts-search,./skills/linkfox-ruiguan-gun-parts-search,1,LinkfoxExpertAmazonListingSpecialist,1,sources/workbuddy-experts/plugins/linkfox-expert-amazon-listing-specialist/skills/linkfox-ruiguan-gun-parts-search,catalog/workbuddy_expert_catalog/skills/by-skill/linkfox-ruiguan-gun-parts-search
linkfox-ruiguan-text-trademark-detection,./skills/linkfox-ruiguan-text-trademark-detection,1,LinkfoxExpertAmazonListingSpecialist,1,sources/workbuddy-experts/plugins/linkfox-expert-amazon-listing-specialist/skills/linkfox-ruiguan-text-trademark-detection,catalog/workbuddy_expert_catalog/skills/by-skill/linkfox-ruiguan-text-trademark-detection
linkfox-ruiguan-trademark-graphic-detection,./skills/linkfox-ruiguan-trademark-graphic-detection,1,LinkfoxExpertAmazonListingSpecialist,1,sources/workbuddy-experts/plugins/linkfox-expert-amazon-listing-specialist/skills/linkfox-ruiguan-trademark-graphic-detection,catalog/workbuddy_expert_catalog/skills/by-skill/linkfox-ruiguan-trademark-graphic-detection
linkfox-ruiguan-utility-patent-detection,./skills/linkfox-ruiguan-utility-patent-detection,1,LinkfoxExpertAmazonListingSpecialist,1,sources/workbuddy-experts/plugins/linkfox-expert-amazon-listing-specialist/skills/linkfox-ruiguan-utility-patent-detection,catalog/workbuddy_expert_catalog/skills/by-skill/linkfox-ruiguan-utility-patent-detection
linkfox-sellersprite-traffic-keyword,./skills/linkfox-sellersprite-traffic-keyword,1,LinkfoxExpertAmazonListingSpecialist,1,sources/workbuddy-experts/plugins/linkfox-expert-amazon-listing-specialist/skills/linkfox-sellersprite-traffic-keyword,catalog/workbuddy_expert_catalog/skills/by-skill/linkfox-sellersprite-traffic-keyword
linkfox-sif-asin-keywords,./skills/linkfox-sif-asin-keywords,1,LinkfoxExpertAmazonListingSpecialist,1,sources/workbuddy-experts/plugins/linkfox-expert-amazon-listing-specialist/skills/linkfox-sif-asin-keywords,catalog/workbuddy_expert_catalog/skills/by-skill/linkfox-sif-asin-keywords
listing-ai-readiness,./skills/listing-ai-readiness,1,LinkfoxExpertAmazonListingSpecialist,1,sources/workbuddy-experts/plugins/linkfox-expert-amazon-listing-specialist/skills/listing-ai-readiness,catalog/workbuddy_expert_catalog/skills/by-skill/listing-ai-readiness
listing-asin-batch-ingest,./skills/listing-asin-batch-ingest,1,LinkfoxExpertAmazonListingSpecialist,1,sources/workbuddy-experts/plugins/linkfox-expert-amazon-listing-specialist/skills/listing-asin-batch-ingest,catalog/workbuddy_expert_catalog/skills/by-skill/listing-asin-batch-ingest
listing-asin-deep-fetch,./skills/listing-asin-deep-fetch,1,LinkfoxExpertAmazonListingSpecialist,1,sources/workbuddy-experts/plugins/linkfox-expert-amazon-listing-specialist/skills/listing-asin-deep-fetch,catalog/workbuddy_expert_catalog/skills/by-skill/listing-asin-deep-fetch
listing-audit,./skills/listing-audit,1,LinkfoxExpertAmazonListingSpecialist,1,sources/workbuddy-experts/plugins/linkfox-expert-amazon-listing-specialist/skills/listing-audit,catalog/workbuddy_expert_catalog/skills/by-skill/listing-audit
listing-bullet-writer,./skills/listing-bullet-writer,1,LinkfoxExpertAmazonListingSpecialist,1,sources/workbuddy-experts/plugins/linkfox-expert-amazon-listing-specialist/skills/listing-bullet-writer,catalog/workbuddy_expert_catalog/skills/by-skill/listing-bullet-writer
listing-competitor-cluster,./skills/listing-competitor-cluster,1,LinkfoxExpertAmazonListingSpecialist,1,sources/workbuddy-experts/plugins/linkfox-expert-amazon-listing-specialist/skills/listing-competitor-cluster,catalog/workbuddy_expert_catalog/skills/by-skill/listing-competitor-cluster
listing-compliance-scan,./skills/listing-compliance-scan,1,LinkfoxExpertAmazonListingSpecialist,1,sources/workbuddy-experts/plugins/linkfox-expert-amazon-listing-specialist/skills/listing-compliance-scan,catalog/workbuddy_expert_catalog/skills/by-skill/listing-compliance-scan
